City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
222,Norwalk,US,33.9,-118.08,63.0,58,90,10.29,light rain,0.0,0.0
223,Komsomolskiy,UZ,40.43,71.72,44.6,65,46,4.7,scattered clouds,0.0,0.0
224,Broome,US,42.25,-75.83,35.6,43,1,8.05,clear sky,0.0,0.0
225,Afikpo,NG,5.89,7.94,78.35,83,45,7.56,scattered clouds,0.0,0.0
226,Butterworth,MY,5.4,100.36,80.6,83,20,3.36,few clouds,0.0,0.0
227,Chippewa Falls,US,44.94,-91.39,41.0,59,1,4.7,clear sky,0.0,0.0
228,Tiksi,RU,71.69,128.87,-11.63,95,92,5.41,overcast clouds,0.0,0.0
229,Bekhtery,UA,46.25,32.29,34.0,99,1,5.61,clear sky,0.0,0.0
230,Kaele,CM,10.11,14.45,77.65,13,0,16.6,clear sky,0.0,0.0
231,Pangkalanbuun,ID,-2.68,111.62,76.6,93,57,0.6,broken clouds,0.0,0.0
232,Kpandae,GH,8.47,-0.01,83.52,21,16,1.77,few clouds,0.0,0.0
233,Mpongwe,ZM,-13.51,28.16,64.98,90,74,2.01,broken clouds,0.0,0.0
234,Beaufort,MY,5.35,115.75,80.6,83,75,8.05,broken clouds,0.0,0.0
235,Lompoc,US,34.64,-120.46,64.0,76,75,8.05,broken clouds,0.0,0.0
236,Snihurivka,UA,47.08,32.81,34.0,99,30,5.59,scattered clouds,0.0,0.0
237,Saint Anthony,US,45.02,-93.22,39.2,69,1,12.75,clear sky,0.0,0.0
238,Zhangye,CN,38.93,100.45,37.08,20,0,8.84,clear sky,0.0,0.0
239,Sirnak,TR,37.52,42.46,36.52,91,95,5.28,light rain,0.44,0.0
240,Anito,PH,12.45,125.29,79.72,79,2,16.04,light rain,0.5,0.0
241,Nea Alikarnassos,GR,35.33,25.17,52.0,62,75,18.34,broken clouds,0.0,0.0
242,Norman Wells,CA,65.28,-126.83,6.8,77,75,1.48,broken clouds,0.0,0.0
243,Sibu,MY,2.3,111.82,77.0,94,75,2.24,broken clouds,0.0,0.0
244,Vazante,BR,-17.99,-46.91,70.88,91,97,5.7,light rain,2.94,0.0
245,De Haan,BE,51.27,3.04,50.0,81,75,26.4,broken clouds,0.0,0.0
246,Yaqui,MX,27.37,-110.17,77.0,44,90,9.17,overcast clouds,0.0,0.0
247,Hokitika,NZ,-42.72,170.97,58.37,66,0,7.4,clear sky,0.0,0.0
248,Sabla,NG,12.75,4.71,78.58,13,41,14.09,scattered clouds,0.0,0.0
249,Aswan,EG,24.09,32.91,54.84,38,51,10.13,broken clouds,0.0,0.0
250,Bubaque,GW,11.28,-15.83,79.36,70,59,12.33,broken clouds,0.0,0.0
251,Tuatapere,NZ,-46.13,167.68,61.0,78,60,18.99,broken clouds,0.0,0.0
252,San Mateo Del Mar,MX,16.2,-95.0,78.12,69,0,43.62,clear sky,0.0,0.0
